sample_id,lam_D,lam_N,lam_ASC,Kd,n_d,n_ASC,d_D,d_N,d_A,d_ASC,f_D,f_N,k_cis,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,D_star,N_star,A_star,ASC_star
0,5.1329716273368,0.13808170160765856,2.9926594479944115,2.3176388879296472,2.348632355007972,5.419085481185866,0.036745058676562574,0.06403701217562137,0.14605405378426545,0.12787650342754406,0.13459898106995202,0.49335637813116723,0.07367683340869144,1,stable_homogeneous,-0.03675742237406553,-0.0367450793445546,5.863703305156273,137.98120263792973,0.00032980760374442755,0.9223143634918597,23.245045585854474
1,6.771606480130604,0.37451523492881433,5.937672591747171,2.2898087750864216,2.068216606005568,1.7261467895532465,0.11072739793986874,0.4300070209870912,5.598255498242641,0.01445166836696042,0.013589408850090981,0.31742222834630934,0.534269751290745,1,stable_homogeneous,-0.014451667746236565,-0.014451668372372967,-3.0,60.30276020562327,0.0025391454388302335,0.05209075353644457,410.26583216427997
2,9.708620973457693,0.3526968769598237,0.6200762544593115,1.3024981726081466,3.5471150589165386,1.5974558788999071,0.326235387039243,0.06451993304251141,1.8650191308628041,0.2371994090070176,0.010794886951746619,0.18096845446186546,0.294778335546375,1,stable_homogeneous,-0.23287335914519144,-0.2371302674225205,-3.0,26.916470684498076,0.009474704701943405,0.14847544447545635,2.535194602596021
3,0.8338486413295693,1.0484655346074034,0.1385203528441725,0.4286841396656487,5.129935640490034,5.208339920541542,0.03638899243134198,0.6336906920661719,0.7058857696190762,0.03763895930124275,0.009909115510349202,0.9513814770618201,0.3381909081282691,1,nonuniform_instability,0.12114562787426952,-0.06504852029331293,-3.0,0.10926731653950868,0.8100178871249637,0.7157418343730454,0.23840457109875543
4,30.861904233969312,0.16170973187594015,1.0938298309165018,0.447219223573048,4.444538491372114,2.544784503172566,0.11189407785193006,0.11740777113426476,0.39555524432223943,0.5856479940578254,0.031003539949540075,1.4455836494774708,0.10903374775446002,1,stable_homogeneous,-0.11153357101901518,-0.11189412561864731,-3.0,269.8091718367374,6.823984150227469e-05,0.40372165910443036,1.054765050550087
5,2.5885630742922903,2.190012319323503,2.584649285774032,1.629327645785775,5.046754378650988,5.804033035000048,0.4893372007178285,0.14744400207460692,0.7021701768140739,0.8600341984772759,0.03759090277713299,2.0213457398429275,0.4230113916396985,1,nonuniform_instability,1.2136387944084073,0.1110151536698637,-3.0,0.020755054718136583,5.368434159529251,1.9245136151999296,0.8282497215170711
6,33.675369105700845,1.2301459867107758,4.662954767225813,0.0609015644919074,1.359140473918988,3.5111663005207525,0.14476035309698287,0.010883671268709252,0.18458609341864596,0.1456960549768549,0.2952472150450635,0.07621436761553774,0.20445878611448667,1,nonuniform_instability,0.0861914975596341,-0.010883942683379406,-3.0,0.0035832483333946303,92.80711020421569,0.8238483570715729,0.003414048160767648
7,40.64241295846742,9.729439657884134,0.27949338904305393,0.12283618147588778,5.774155144502456,4.135989472461608,0.14231960770586966,0.054067634790531754,0.11543874530722668,0.04867486659278347,0.013421512348223922,1.2740214292211822,1.2191774181122979,1,nonuniform_instability,0.1781956153315242,-0.05406763447807677,-3.0,3.738500268568075e-05,178.85331594794147,0.44276246650477286,0.028432041568497324
8,4.559806169209389,0.237651784890326,1.8689334334294232,0.9393630458062393,2.930655051901675,4.91564850770345,0.20442231214337916,0.044642138538420605,0.1067364021032468,0.016347144059115717,0.012343603271450922,5.7143836952924865,3.315018965660581,0,no_positive_fixed_point,,,,,,,
9,5.197207257771831,0.2039841217537038,1.0964098169173893,2.547094966320529,1.3472711871591314,1.615139198081156,0.7707784803592496,0.2535193026203684,5.520140415054011,0.014372321874095453,0.015527003976748732,0.6049716876435188,1.2341502899143784,1,stable_homogeneous,-0.014372240243289196,-0.014372323474970942,-3.0,6.602651600949141,0.006301896624584629,0.027360613564435334,76.23584033127383
10,15.878387671988138,0.784618541894089,0.5570590152634828,0.40056094085280713,2.7715925703706663,4.976789447913966,0.5570498088084134,0.05777252555576536,0.31318745254452635,0.12154108338027776,0.15431683926537493,0.6839847550812651,0.3041049243943463,1,nonuniform_instability,0.2725663638490229,-0.05782992430834328,-3.0,0.008931377918955053,8.077013576555256,0.9452846320660749,0.06300166056202638
