parameter,baseline_value,S_nonuniform,S_uniform,S_nonuniform_h0.01,S_nonuniform_h0.02,h_stability_abs_diff,rank
n_ASC,3.0,0.23196438619569656,8.326672684688674e-15,0.23196438619569656,0.2316399882770776,0.0003243979186189627,1
d_A,1.0,-0.17933746776933376,-5.322131624296844e-13,-0.17933746776933376,-0.17909956223157458,0.000237905537759181,2
lam_N,1.0,0.17703275712511857,1.5668022435022522e-12,0.17703275712511857,0.1767984241743869,0.00023433295073166382,3
Kd,0.3,-0.11792286616398584,-7.820133429703446e-13,-0.11792286616398584,-0.1178539321475565,6.893401642933672e-05,4
lam_ASC,1.0,-0.06032654509765534,-8.007483565108942e-13,-0.06032654509765534,-0.060317264330464124,9.280767191213735e-06,5
d_ASC,0.1,0.0439960157610577,-0.03255347023507979,0.0439960157610577,0.0439828599313399,1.3155829717802214e-05,6
n_d,3.0,0.025655520014447944,3.0531133177191805e-14,0.025655520014447944,0.025654490056391602,1.0299580563422062e-06,7
d_D,0.1,-0.015016080197351178,-0.032180107185149354,-0.015016080197351178,-0.015015530217967789,5.49979383389354e-07,8
k_cis,0.35,0.014461890219989032,-3.4763858458575214e-13,0.014461890219989032,0.014459934042770038,1.9561772189938265e-06,9
f_N,0.6,-0.014187125742547158,-5.190292640122607e-13,-0.014187125742547158,-0.014185124009659551,2.0017328876062446e-06,10
lam_D,5.0,0.0012648331134616775,-3.1558089474970075e-12,0.0012648331134616775,0.0012649038334444987,7.071998282121017e-08,11
f_D,0.05,-0.0001743958194432016,-7.424616477180734e-13,-0.0001743958194432016,-0.00017440513335516966,9.313911968067412e-09,12
d_N,0.1,-7.329666100279464e-05,-0.0311793356181346,-7.329666100279464e-05,-7.330034735419239e-05,3.6863513977469786e-09,13
