m,n,mu,k1,k2,lambda_max
0,0,6.0,0.0,0.0,-0.10000000000000016
0,1,5.863703305156273,0.0,0.2617993877991494,-0.09944112506290632
0,2,5.464101615137755,0.0,0.5235987755982988,-0.09771080625483643
0,3,4.82842712474619,0.0,0.7853981633974483,-0.09462964410964969
0,4,4.0,0.0,1.0471975511965976,-0.08983362114796277
0,5,3.035276180410083,0.0,1.3089969389957472,-0.08266560727200993
0,6,2.0,0.0,1.5707963267948966,-0.07202842535453717
0,7,0.9647238195899175,0.0,1.832595714594046,-0.0563547141245735
0,8,8.881784197001252e-16,0.0,2.0943951023931953,-0.03431629436083003
0,9,-0.8284271247461898,0.0,2.356194490192345,-0.00708015601201609
0,10,-1.4641016151377548,0.0,2.6179938779914944,0.01989695919537538
0,11,-1.8637033051562728,0.0,2.8797932657906435,0.03942881991923157
0,12,-2.0,0.0,3.141592653589793,0.04649254285826247
0,13,-1.8637033051562732,0.0,3.4033920413889427,0.0394288199192316
0,14,-1.4641016151377553,0.0,3.665191429188092,0.01989695919537538
0,15,-0.8284271247461916,0.0,3.926990816987241,-0.007080156012015957
0,16,-1.7763568394002505e-15,0.0,4.1887902047863905,-0.03431629436082999
0,17,0.9647238195899175,0.0,4.4505895925855405,-0.0563547141245735
0,18,1.9999999999999991,0.0,4.71238898038469,-0.07202842535453705
0,19,3.035276180410081,0.0,4.974188368183839,-0.08266560727200979
0,20,4.0,0.0,5.235987755982989,-0.08983362114796277
0,21,4.82842712474619,0.0,5.497787143782138,-0.09462964410964969
0,22,5.4641016151377535,0.0,5.759586531581287,-0.09771080625483616
0,23,5.863703305156273,0.0,6.021385919380436,-0.09944112506290632
1,0,5.863703305156273,0.2617993877991494,0.0,-0.09944112506290632
1,1,5.863703305156273,0.2617993877991494,0.2617993877991494,-0.09944112506290632
1,2,5.59575411272515,0.2617993877991494,0.5235987755982988,-0.09829677950196829
1,3,5.078116022520109,0.2617993877991494,0.7853981633974483,-0.09589312240638669
1,4,4.346065214951232,0.2617993877991494,1.0471975511965976,-0.09196187179007466
1,5,3.449489742783178,0.2617993877991494,1.3089969389957472,-0.08599723698135077
1,6,2.4494897427831783,0.2617993877991494,1.5707963267948966,-0.0771211312925546
1,7,1.4142135623730956,0.2617993877991494,1.832595714594046,-0.06395847373116717
1,8,0.4142135623730958,0.2617993877991494,2.0943951023931953,-0.04488155214174846
1,9,-0.48236190979495785,0.2617993877991494,2.356194490192345,-0.019521901640859384
1,10,-1.2144127173638357,0.2617993877991494,2.6179938779914944,0.00867246734135234
1,11,-1.7320508075688767,0.2617993877991494,2.8797932657906435,0.032792494056344955
1,12,-1.9999999999999998,0.2617993877991494,3.141592653589793,0.04649254285826247
1,13,-2.0,0.2617993877991494,3.4033920413889427,0.04649254285826247
1,14,-1.7320508075688779,0.2617993877991494,3.665191429188092,0.03279249405634494
1,15,-1.2144127173638373,0.2617993877991494,3.926990816987241,0.008672467341352463
1,16,-0.4823619097949601,0.2617993877991494,4.1887902047863905,-0.019521901640859204
1,17,0.41421356237309614,0.2617993877991494,4.4505895925855405,-0.044881552141748604
1,18,1.414213562373095,0.2617993877991494,4.71238898038469,-0.0639584737311673
1,19,2.4494897427831765,0.2617993877991494,4.974188368183839,-0.07712113129255468
1,20,3.449489742783179,0.2617993877991494,5.235987755982989,-0.08599723698135076
1,21,4.346065214951231,0.2617993877991494,5.497787143782138,-0.0919618717900747
1,22,5.078116022520108,0.2617993877991494,5.759586531581287,-0.09589312240638669
1,23,5.5957541127251496,0.2617993877991494,6.021385919380436,-0.09829677950196829
2,0,5.464101615137755,0.5235987755982988,0.0,-0.09771080625483643
2,1,5.59575411272515,0.5235987755982988,0.2617993877991494,-0.09829677950196829
