pair,param_x,param_y,x,y,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph
lam_N_x_d_A,lam_N,d_A,0.2,0.05,1,nonuniform_instability,0.04742510362440775,-0.0504325645503292,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.05830724263090528,1,nonuniform_instability,0.046263134009852803,-0.050258293031208684,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.06799469086438521,1,nonuniform_instability,0.04273612265972733,-0.051552180281885865,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.07929165875686216,1,nonuniform_instability,0.0359319991988489,-0.05746022528078043,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.09246555971486617,1,nonuniform_instability,0.02546794645330003,-0.07426401461570331,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.1078282365059433,1,nonuniform_instability,0.013903176385789971,-0.0988640594324684,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.12574334296829354,1,nonuniform_instability,0.007142098817263595,-0.10000000000000125,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.14663495215346858,1,nonuniform_instability,0.0029004367971619417,-0.09999999999999942,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.17099759466766967,1,stable_homogeneous,-0.006463942582673376,-0.09999999999999061,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.1994079648317803,1,stable_homogeneous,-0.026851679510142976,-0.10000000000003563,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.23253857175963288,1,stable_homogeneous,-0.05297521606750191,-0.1000000000000714,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.27117365849266195,1,stable_homogeneous,-0.07364412170579177,-0.09999999999999429,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.31622776601683794,1,stable_homogeneous,-0.08609212549810029,-0.09999999999999591,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.3687673815954583,1,stable_homogeneous,-0.09276421599811105,-0.0999999999999039,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.4300361838610006,1,stable_homogeneous,-0.09621114115684765,-0.10000000000002057,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.5014844822490394,1,stable_homogeneous,-0.09798924083524416,-0.09999999999999623,-3.0
lam_N_x_d_A,lam_N,d_A,0.2,0.5848035476425731,1,stable_homogeneous,-0.09891794410790784,-0.09999999999998399,-3.0
